stock_name	*germplasm_type	alias	*genus	*species	maternal_parent	paternal_parent	mutation_parent	selfing_parent	pedigree	description	origin	comments	stock_name_norm	alias_norm	source_book
CHANG3	cultivar		Zea	mays cultivar:B73					test-pedigree-CHANG3			AMP	CHANG3		metabolite_183_known
CHANG7-2	cultivar		Zea	mays cultivar:B73					test-pedigree-CHANG7-2			AMP	CHANG7-2		metabolite_183_known
CHENG698	cultivar		Zea	mays cultivar:B73					test-pedigree-CHENG698			AMP	CHENG698		metabolite_183_known
CHUAN48-2	cultivar		Zea	mays cultivar:B73					test-pedigree-CHUAN48-2			AMP	CHUAN48-2		metabolite_183_known
CI7	cultivar		Zea	mays cultivar:B73					test-pedigree-CI7			AMP	CI7		metabolite_183_known
CIMBL1	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL1			AMP	CIMBL1		metabolite_183_known
CIMBL10	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL10			AMP	CIMBL10		metabolite_183_known
CIMBL100	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL100			AMP	CIMBL100		metabolite_183_known
CIMBL101	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL101			AMP	CIMBL101		metabolite_183_known
CIMBL102	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL102			AMP	CIMBL102		metabolite_183_known
CIMBL103	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL103			AMP	CIMBL103		metabolite_183_known
CIMBL105	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL105			AMP	CIMBL105		metabolite_183_known
CIMBL106	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL106			AMP	CIMBL106		metabolite_183_known
CIMBL107	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL107			AMP	CIMBL107		metabolite_183_known
CIMBL108	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL108			AMP	CIMBL108		metabolite_183_known
CIMBL109	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL109			AMP	CIMBL109		metabolite_183_known
CIMBL11	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL11			AMP	CIMBL11		metabolite_183_known
CIMBL110	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL110			AMP	CIMBL110		metabolite_183_known
CIMBL111	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL111			AMP	CIMBL111		metabolite_183_known
CIMBL112	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL112			AMP	CIMBL112		metabolite_183_known
CIMBL113	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL113			AMP	CIMBL113		metabolite_183_known
