*dataset_name	stock_name	genus	species	sample_id	site_name	data_year	#AA_Asp	#AA_Thr	#AA_Ser	#AA_Glu	#AA_Gly	#AA_Ala	#AA_Cys	#AA_Val	#AA_Met	#AA_Ile	#AA_Leu	#AA_Tyr	#AA_Phe	#AA_Lys	#AA_NH3	#AA_His	#AA_Arg	#AA_Pro	#AA_total	#Plantheight	#Earheight	#Earleafwidth	#Earleaflength	#Tasselmainaxislength	#Tasselbranchnumber	#Leafnumberaboveear	#Earlength	#Eardiameter	#Cobdiameter	#Earrownumber	#Kernernumberperrow	#100grainweight	#cobweight	#kernellength	#Kernelwidth	#Kernelthickness	#Silkingtime	#Pollenshed	#Headingdate	#cobcolor	#Oil_C16_0	#Oil_C16_1	#Oil_C18_0	#Oil_C18_1	#Oil_C18_2	#Oil_C18_3	#Oil_C20_0	#Oil_C20_1	#Oil_C22_0	#Oil_C24_0	#Oil_OIL	#Oil_C16_0P	#Oil_C16_1P	#Oil_C18_0P	#Oil_C18_1P	#Oil_C18_2P	#Oil_C18_3P	#Oil_C20_0P	#Oil_C20_1P	#Oil_C22_0P	#Oil_C24_0P	#Oil_C160_C161	#Oil_C160_C180	#Oil_C180_C181	#Oil_C181_C182	#Oil_C182_C183	#Oil_C180_C200	#Oil_C200_C201	#Oil_C200_C220	#Oil_C220_C240	#Oil_SFA_USFA	stock_name_norm	sample_id_norm	source_book
AMP_agri_AA_Oil_traits	CIMBL91	Zea	mays cultivar:B73	CIMBL91			7.98463785	3.82426986	6.570181075	26.49535631	4.742903037	9.517143692	2.272111565	5.511828271	1.496366822	3.901518692	15.50683411	5.067873832	6.08078271	3.518633178	3.401547897	3.469742991	6.041501168	11.26848715	126.6717202	183.7188579	71.16882636	7.776741223	77.8577431	31.5603552	4.482120518	6.191852273	12.21016244	3.798230526	2.230765012	14.26919409	22.84647499	22.13857138	18.29864264	9.257216719	7.84081845	4.391029025	72.026	72.1367	70.0486	white	0.635323004	0.007950689	0.117810746	0.938497388	2.764618336	0.059799057	0.023566807	0.015537127	0.008635373	0.011922531	4.587003362	13.87683194	0.174589695	2.546066255	20.51516075	60.21503283	1.308315558	0.514124152	0.339602286	0.189708411	0.260960347	81.52467727	5.616397616	0.124794922	0.344546416	46.41257624	4.98451142	1.513794313	2.720634874	0.730375849	0.211673929	CIMBL91	CIMBL91	agri_aa_oil
AMP_agri_AA_Oil_traits	CIMBL92	Zea	mays cultivar:B73	CIMBL92			8.139622125	3.77135816	6.391046002	25.17823111	4.513526835	9.527573932	1.85907448	5.623083242	1.89694414	4.215388828	15.86569003	5.342415115	6.820153341	3.825821468	2.021330778	3.049041621	6.230613363	10.91015882	125.1810734	148.1445282	48.97901391	7.284507649	73.39242551	34.21010769	3.940497722	6.311398914	11.98109245	3.48636788	2.09697661	11.44670061	22.60018254	21.4278816	13.23137371	8.032624885	8.594862825	4.129529058	69.7775	71.9141	66.9247	white	0.658881445	0.007683803	0.131593383	1.358963019	3.068748834	0.05657651	0.029042682	0.020906672	0.011199885	0.012833226	5.361183855	12.31950969	0.145877966	2.438877031	25.35947594	57.23002563	1.059599914	0.541733078	0.388586311	0.210535192	0.242855222	87.77647436	5.213549856	0.096259115	0.445626449	54.56949881	4.528790505	1.40959125	2.605288	0.895270159	0.188264478	CIMBL92	CIMBL92	agri_aa_oil
AMP_agri_AA_Oil_traits	CIMBL93	Zea	mays cultivar:B73	CIMBL93			7.76128125	3.42271875	6.20421875	25.824375	3.64065625	9.82771875	1.694921875	5.0035625	1.982190625	4.28090625	16.98184375	5.70525	6.755375	3.0879625	3.632375	2.885834375	5.6361875	11.5595625	125.8869406	160.3652303	63.34605133	6.868843743	71.73186421	26.11989801	12.87113805	5.945646376	9.495815708	3.337366838	2.150938552	11.18256352	18.99360454	21.36382801	13.29140905	7.497504279	7.740164509	4.31640478	71.4906	71.4689	65.9206	white	0.655550026	0.006210125	0.065138715	0.592260724	2.111209115	0.065131907	0.017111195	0.009961278	0.00871147	0.012304456	3.543989128	18.35290377	0.173437246	1.847280372	17.21953999	59.19737919	1.83339649	0.482490362	0.282617564	0.241498779	0.341994546	104.4842497	10.0790908	0.105237858	0.29297727	32.83855693	3.841675546	1.724441435	1.990475172	0.756925719	0.270410298	CIMBL93	CIMBL93	agri_aa_oil
AMP_agri_AA_Oil_traits	CIMBL94	Zea	mays cultivar:B73	CIMBL94			9.482667526	4.169072165	7.376256443	29.62947809	5.248840206	11.12493557	2.117915593	6.340689433	1.910025773	4.55496134	18.00853737	5.853221649	7.132603093	4.511823454	3.537596649	3.517525773	7.122809278	12.38862758	144.027587	151.640969	50.57008867	7.299821583	76.45195284	26.87313472	5.293718012	5.574149034	9.792987589	3.480349478	2.177733448	11.15992319	19.44335595	21.77255089	9.343370457	8.349680258	8.684204112	4.532438416	69.9916	68.7977	66.7015	white	0.588853106	0.007078435	0.08654412	0.736404815	2.064589468	0.043080235	0.018368479	0.010547984	0.007787332	0.012803427	3.576337249	16.51510103	0.19785876	2.429574109	20.56083581	57.63306448	1.184934324	0.516732269	0.296436758	0.219330329	0.357814955	86.11391525	6.889339045	0.118939377	0.36004332	48.95255769	4.707259749	1.745376906	2.398698273	0.611197599	0.252502495	CIMBL94	CIMBL94	agri_aa_oil
AMP_agri_AA_Oil_traits	CIMBL95	Zea	mays cultivar:B73	CIMBL95			11.53482906	5.031959707	8.434859585	38.87393162	6.421916972	15.14954212	6.435805861	9.170482295	4.229426129	5.891300366	23.15357143	7.814652015	8.997252747	4.778693529	4.301159951	4.159615385	8.698595849	15.24114774	188.3187424	178.0969427	63.85149441	8.890282952	80.34176083	32.40830583	14.30607589	6.152048986	13.30244599	3.378948524	1.975655277	12.60135703	22.21896468	21.22352016	16.25458211	8.675343469	7.714851144	4.642443273	69.028	67.2395	64.247	white	0.910381018	0.009663434	0.131783679	2.308710361	2.381469886	0.067525445	0.033705239	0.021768076	0.013350689	0.013949031	5.89765093	15.48612265	0.166605653	2.23179152	38.88070793	40.60393046	1.156271372	0.571463871	0.368687121	0.228294473	0.242632411	93.59910375	7.030804498	0.058241243	0.962499952	35.18558926	3.935704407	1.55680871	2.515528626	0.954585424	0.231956054	CIMBL95	CIMBL95	agri_aa_oil
AMP_agri_AA_Oil_traits	CIMBL96	Zea	mays cultivar:B73	CIMBL96			9.950626649	4.279617414	7.870415567	31.75046174	5.192612137	12.79633905	4.582091029	7.645382586	3.6948219	4.839544855	19.04551451	6.245877309	7.70085752	3.980573879	3.899835092	3.049614116	6.445811346	11.66127968	154.6312764	168.8893975	65.64063926	9.91194108	69.19552742	30.62291111	12.76376175	5.45542308	12.65415138	3.802607546	2.386696418	13.05416347	19.95735757	25.25889602	16.50187055	8.313814266	8.173469753	5.139453172	69.9916	70.6898	67.7056	white	0.932122523	0.012716282	0.143295338	1.929674288	2.828245816	0.064823654	0.03704933	0.017909697	0.012546236	0.014548893	6.000349	15.56949347	0.214219028	2.378087582	32.12337218	47.18811348	1.090437771	0.615594649	0.300005687	0.211095367	0.248462938	73.31885367	6.594397806	0.074756442	0.681993867	43.5604141	3.893440074	2.063021963	2.929079387	0.863144082	0.235882861	CIMBL96	CIMBL96	agri_aa_oil
AMP_agri_AA_Oil_traits	CIMBL97	Zea	mays cultivar:B73	CIMBL97			7.954119318	3.687272727	6.316761364	23.98085227	4.415284091	9.299204545	1.630707386	5.309971591	1.634110795	4.260113636	15.46636364	5.4159375	6.450482955	3.932073864	3.144318182	2.878125	6.449204545	10.48883523	122.7137386	154.4734207	60.208175	9.917447529	71.20184944	24.77003818	11.81104112	5.548160634	12.38899623	3.503328831	2.297566175	13.46168927	18.4325549	21.60052126	15.22302243	7.649576086	7.470651625	5.122223495	72.24015	70.9124	68.0403	white	0.844898759	0.010725028	0.113118119	2.006440124	2.606480347	0.064320954	0.034536307	0.017731823	0.012349629	0.01310407	5.728286535	14.7632846	0.188814944	1.9814906	34.84830972	45.67784188	1.136414668	0.599756206	0.310471201	0.216734525	0.234407866	79.42477607	7.508294485	0.05747796	0.765437017	40.56876904	3.324004534	1.945598945	2.768802913	0.941889328	0.217212777	CIMBL97	CIMBL97	agri_aa_oil
AMP_agri_AA_Oil_traits	CIMBL98	Zea	mays cultivar:B73	CIMBL98			9.617201258	4.133616352	7.899779874	31.20345912	4.680062893	10.95484277	1.875283019	6.06336478	2.226084906	4.890849057	19.20899371	6.662295597	7.69245283	4.002578616	3.918427673	3.218553459	6.376698113	11.13603774	145.7605818	167.1045042	59.44460044	9.418987809	66.79567513	26.59272185	12.87699494	5.608891422	11.7529069	3.660719161	2.421492567	11.42783367	21.13054748	23.2897058	17.37238305	8.087141194	8.791413657	4.66099831	70.2058	68.909	65.9206	white	0.893128622	0.00893711	0.153074128	1.951169737	2.577406582	0.065661517	0.035971575	0.016533923	0.011312397	0.014118961	5.732797558	15.58745946	0.15859306	2.642420205	33.91561087	45.11414192	1.158235851	0.62330022	0.290679549	0.199267902	0.250590258	99.04952412	5.983696547	0.078494036	0.753770095	39.26239534	4.244170764	2.15709746	3.145857649	0.805652372	0.240211354	CIMBL98	CIMBL98	agri_aa_oil
AMP_agri_AA_Oil_traits	CIMBL99	Zea	mays cultivar:B73	CIMBL99																						152.695729	63.27649494	9.979759928	59.43233686	27.97837907	8.765458771	6.519169335	12.0748431	3.984071483	2.293472511	13.86921507	21.65784625	24.42314924	13.85316834	9.112908576	8.014144457	4.672926547	77.0583	73.6949	71.6105	white	0.794608467	0.009764403	0.062798407	1.387098154	2.169682253	0.056618618	0.020003597	0.019889202	0.008276165	0.015411777	4.548277538	17.47961504	0.214652193	1.406796689	30.42925866	47.76597323	1.247334864	0.442765255	0.432131778	0.182907617	0.343204154	81.69028487	12.58787223	0.046521502	0.63920191	38.6475041	3.148819185	1.060922163	2.445562461	0.534314195	0.248601058	CIMBL99	CIMBL99	agri_aa_oil
AMP_agri_AA_Oil_traits	CML113	Zea	mays cultivar:B73	CML113			9.018439227	4.260082873	7.746270718	30.28069751	4.361015193	10.84927486	2.103356354	6.441229282	2.454247238	5.032907459	19.11229282	5.993577348	7.787430939	3.840573204	3.312707182	3.40969268	5.672410221	12.14371547	143.8199206	162.3429054	53.49454833	7.9955117	72.28917588	26.96262819	9.934884302	5.440103601	11.49818814	3.774339294	2.355621782	12.8730409	18.07696832	24.15595429	14.68365727	8.605152495	8.720753629	4.678873003	72.3472	70.5785	65.5859	white	0.734368229	0.007956204	0.138676063	1.172672509	2.464310244	0.062309317	0.023194937	0.013618898	0.009044465	0.015492822	4.646852356	15.95881512	0.172022308	2.932714843	25.04681048	53.08653741	1.370299729	0.497510234	0.296149135	0.198404556	0.336066644	92.42850825	5.542756	0.118968249	0.475985725	39.23722511	5.83169941	1.688359621	2.539701861	0.601205089	0.25083736	CML113	CML113	agri_aa_oil
