trait_descriptor_set	*descriptor_name	Alias	*format	trait_name	data_unit	definition	source_book
SITE_CV	Tricin_E1		numeric				metabolite_183_known
SITE_CV	Fructose_1.6_diphosphate_E1		numeric				metabolite_183_known
SITE_CV	N_Coumaroyl_spermidine_derivative_E1		numeric				metabolite_183_known
SITE_CV	Acetosyringone_E1		numeric				metabolite_183_known
SITE_CV	Lincomycin_E1		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_18:3_1_E1		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_18:3_2_E1		numeric				metabolite_183_known
SITE_CV	N.N_Di_coumaroyl_N_feruloylspermidine_E1		numeric				metabolite_183_known
SITE_CV	Ferulic_acid_E1		numeric				metabolite_183_known
SITE_CV	Uracil_E1		numeric				metabolite_183_known
SITE_CV	Guanosine_E1		numeric				metabolite_183_known
SITE_CV	Quercetin_E1		numeric				metabolite_183_known
SITE_CV	Hesperetin_E1		numeric				metabolite_183_known
SITE_CV	Feruloylagmatine_derivative_E1		numeric				metabolite_183_known
SITE_CV	Glutathione_E1		numeric				metabolite_183_known
SITE_CV	L_Proline_E1		numeric				metabolite_183_known
SITE_CV	N.N_caffeoyl.Feruloyl_spermidine_derivative_E1		numeric				metabolite_183_known
SITE_CV	Asparagine_E1		numeric				metabolite_183_known
SITE_CV	DIMBOA_glucoside_E1		numeric				metabolite_183_known
SITE_CV	Diosgenin_E1		numeric				metabolite_183_known
SITE_CV	Pyridoxate_1_E1		numeric				metabolite_183_known
SITE_CV	Pyroglutamic_acid_E2		numeric				metabolite_183_known
SITE_CV	L_Pipecolate_E2		numeric				metabolite_183_known
SITE_CV	L_Aspartic_acid_E2		numeric				metabolite_183_known
SITE_CV	L_Methionine_E2		numeric				metabolite_183_known
SITE_CV	Phenylpyruvic_acid_E2		numeric				metabolite_183_known
SITE_CV	2.6_diformyl_4_methylphenol_E2		numeric				metabolite_183_known
SITE_CV	L_Arginine_E2		numeric				metabolite_183_known
SITE_CV	Gluconolactone_E2		numeric				metabolite_183_known
SITE_CV	5_Hydroxyindoleacetic_acid_E2		numeric				metabolite_183_known
SITE_CV	3_2_Hydroxyethyl_4_methyl_1.2.3.4_pentanetetrol_E2		numeric				metabolite_183_known
SITE_CV	DL_Indole_3_lactic_acid_3_Indolelactic_acid_E2		numeric				metabolite_183_known
SITE_CV	D_Pantothenic_acid_E2		numeric				metabolite_183_known
SITE_CV	Pro_Leu_E2		numeric				metabolite_183_known
SITE_CV	N_3_Indolylacetyl_L_alanine_E2		numeric				metabolite_183_known
SITE_CV	sn_Glycero_3_Phosphocholine_E2		numeric				metabolite_183_known
SITE_CV	N_Feruloylputrescine_E2		numeric				metabolite_183_known
SITE_CV	12_Hydroxy_6_epi_albrassitriol_E2		numeric				metabolite_183_known
SITE_CV	Naringenin_E2		numeric				metabolite_183_known
SITE_CV	Naringenin_derivative_E2		numeric				metabolite_183_known
SITE_CV	L_saccharopine_E2		numeric				metabolite_183_known
SITE_CV	Glu_Glu_E2		numeric				metabolite_183_known
SITE_CV	Linolenic_acid_E2		numeric				metabolite_183_known
SITE_CV	Linoleic_acid_E2		numeric				metabolite_183_known
SITE_CV	Norcinnamolaurine_E2		numeric				metabolite_183_known
SITE_CV	Sakuranetin_E2		numeric				metabolite_183_known
SITE_CV	N_coumaroyl_O_hexoside_spermidine_E2		numeric				metabolite_183_known
SITE_CV	5_Methylthioadenosine_E2		numeric				metabolite_183_known
SITE_CV	N_Coumaroyltryptamine_E2		numeric				metabolite_183_known
SITE_CV	Coumaroylserotonin_E2		numeric				metabolite_183_known
SITE_CV	Feruloyltryptamine_E2		numeric				metabolite_183_known
SITE_CV	Adenylic_acid_E2		numeric				metabolite_183_known
