stock_name	*germplasm_type	alias	*genus	*species	maternal_parent	paternal_parent	mutation_parent	selfing_parent	pedigree	description	origin	comments	stock_name_norm	alias_norm	source_book
CHANG3	cultivar		Zea	mays cultivar:B73					test-pedigree-CHANG3			AMP	CHANG3		agri_aa_oil
CHANG7-2	cultivar		Zea	mays cultivar:B73					test-pedigree-CHANG7-2			AMP	CHANG7-2		agri_aa_oil
CHENG698	cultivar		Zea	mays cultivar:B73					test-pedigree-CHENG698			AMP	CHENG698		agri_aa_oil
CHUAN48-2	cultivar		Zea	mays cultivar:B73					test-pedigree-CHUAN48-2			AMP	CHUAN48-2		agri_aa_oil
CI7	cultivar		Zea	mays cultivar:B73					test-pedigree-CI7			AMP	CI7		agri_aa_oil
CIMBL1	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL1			AMP	CIMBL1		agri_aa_oil
CIMBL10	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL10			AMP	CIMBL10		agri_aa_oil
CIMBL100	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL100			AMP	CIMBL100		agri_aa_oil
CIMBL101	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL101			AMP	CIMBL101		agri_aa_oil
CIMBL102	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL102			AMP	CIMBL102		agri_aa_oil
CIMBL103	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL103			AMP	CIMBL103		agri_aa_oil
CIMBL105	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL105			AMP	CIMBL105		agri_aa_oil
CIMBL106	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL106			AMP	CIMBL106		agri_aa_oil
CIMBL107	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL107			AMP	CIMBL107		agri_aa_oil
CIMBL108	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL108			AMP	CIMBL108		agri_aa_oil
CIMBL109	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL109			AMP	CIMBL109		agri_aa_oil
CIMBL11	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL11			AMP	CIMBL11		agri_aa_oil
CIMBL110	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL110			AMP	CIMBL110		agri_aa_oil
CIMBL111	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL111			AMP	CIMBL111		agri_aa_oil
CIMBL112	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL112			AMP	CIMBL112		agri_aa_oil
CIMBL113	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL113			AMP	CIMBL113		agri_aa_oil
CIMBL114	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL114			AMP	CIMBL114		agri_aa_oil
CIMBL115	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL115			AMP	CIMBL115		agri_aa_oil
CIMBL116	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL116			AMP	CIMBL116		agri_aa_oil
CIMBL117	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL117			AMP	CIMBL117		agri_aa_oil
CIMBL118	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL118			AMP	CIMBL118		agri_aa_oil
CIMBL119	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL119			AMP	CIMBL119		agri_aa_oil
CIMBL12	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL12			AMP	CIMBL12		agri_aa_oil
CIMBL120	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL120			AMP	CIMBL120		agri_aa_oil
CIMBL121	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL121			AMP	CIMBL121		agri_aa_oil
CIMBL122	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL122			AMP	CIMBL122		agri_aa_oil
CIMBL123	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL123			AMP	CIMBL123		agri_aa_oil
CIMBL124	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL124			AMP	CIMBL124		agri_aa_oil
CIMBL125	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL125			AMP	CIMBL125		agri_aa_oil
CIMBL126	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL126			AMP	CIMBL126		agri_aa_oil
CIMBL127	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL127			AMP	CIMBL127		agri_aa_oil
CIMBL128	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL128			AMP	CIMBL128		agri_aa_oil
CIMBL129	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL129			AMP	CIMBL129		agri_aa_oil
CIMBL13	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL13			AMP	CIMBL13		agri_aa_oil
CIMBL133	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL133			AMP	CIMBL133		agri_aa_oil
CIMBL134	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL134			AMP	CIMBL134		agri_aa_oil
CIMBL136	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL136			AMP	CIMBL136		agri_aa_oil
CIMBL137	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL137			AMP	CIMBL137		agri_aa_oil
CIMBL138	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL138			AMP	CIMBL138		agri_aa_oil
CIMBL139	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL139			AMP	CIMBL139		agri_aa_oil
CIMBL14	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL14			AMP	CIMBL14		agri_aa_oil
CIMBL140	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL140			AMP	CIMBL140		agri_aa_oil
CIMBL141	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL141			AMP	CIMBL141		agri_aa_oil
CIMBL142	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL142			AMP	CIMBL142		agri_aa_oil
CIMBL143	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL143			AMP	CIMBL143		agri_aa_oil
CIMBL144	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL144			AMP	CIMBL144		agri_aa_oil
CIMBL145	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL145			AMP	CIMBL145		agri_aa_oil
CIMBL146	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL146			AMP	CIMBL146		agri_aa_oil
CIMBL147	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL147			AMP	CIMBL147		agri_aa_oil
CIMBL148	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL148			AMP	CIMBL148		agri_aa_oil
CIMBL149	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL149			AMP	CIMBL149		agri_aa_oil
CIMBL15	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL15			AMP	CIMBL15		agri_aa_oil
CIMBL150	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL150			AMP	CIMBL150		agri_aa_oil
CIMBL151	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL151			AMP	CIMBL151		agri_aa_oil
CIMBL152	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL152			AMP	CIMBL152		agri_aa_oil
CIMBL153	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL153			AMP	CIMBL153		agri_aa_oil
CIMBL154	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL154			AMP	CIMBL154		agri_aa_oil
CIMBL155	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL155			AMP	CIMBL155		agri_aa_oil
CIMBL156	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL156			AMP	CIMBL156		agri_aa_oil
CIMBL157	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL157			AMP	CIMBL157		agri_aa_oil
CIMBL16	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL16			AMP	CIMBL16		agri_aa_oil
CIMBL17	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL17			AMP	CIMBL17		agri_aa_oil
CIMBL18	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL18			AMP	CIMBL18		agri_aa_oil
CIMBL19	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL19			AMP	CIMBL19		agri_aa_oil
CIMBL2	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL2			AMP	CIMBL2		agri_aa_oil
CIMBL20	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL20			AMP	CIMBL20		agri_aa_oil
CIMBL21	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL21			AMP	CIMBL21		agri_aa_oil
CIMBL22	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL22			AMP	CIMBL22		agri_aa_oil
CIMBL23	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL23			AMP	CIMBL23		agri_aa_oil
CIMBL24	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL24			AMP	CIMBL24		agri_aa_oil
CIMBL25	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL25			AMP	CIMBL25		agri_aa_oil
CIMBL26	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL26			AMP	CIMBL26		agri_aa_oil
CIMBL27	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL27			AMP	CIMBL27		agri_aa_oil
CIMBL28	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL28			AMP	CIMBL28		agri_aa_oil
CIMBL29	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL29			AMP	CIMBL29		agri_aa_oil
CIMBL3	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL3			AMP	CIMBL3		agri_aa_oil
CIMBL30	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL30			AMP	CIMBL30		agri_aa_oil
CIMBL31	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL31			AMP	CIMBL31		agri_aa_oil
CIMBL32	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL32			AMP	CIMBL32		agri_aa_oil
CIMBL33	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL33			AMP	CIMBL33		agri_aa_oil
CIMBL34	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL34			AMP	CIMBL34		agri_aa_oil
CIMBL38	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL38			AMP	CIMBL38		agri_aa_oil
CIMBL39	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL39			AMP	CIMBL39		agri_aa_oil
CIMBL4	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL4			AMP	CIMBL4		agri_aa_oil
CIMBL40	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL40			AMP	CIMBL40		agri_aa_oil
CIMBL42	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL42			AMP	CIMBL42		agri_aa_oil
CIMBL43	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL43			AMP	CIMBL43		agri_aa_oil
CIMBL44	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL44			AMP	CIMBL44		agri_aa_oil
CIMBL45	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL45			AMP	CIMBL45		agri_aa_oil
CIMBL46	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL46			AMP	CIMBL46		agri_aa_oil
CIMBL47	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL47			AMP	CIMBL47		agri_aa_oil
CIMBL48	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL48			AMP	CIMBL48		agri_aa_oil
CIMBL49	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL49			AMP	CIMBL49		agri_aa_oil
CIMBL5	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL5			AMP	CIMBL5		agri_aa_oil
CIMBL50	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL50			AMP	CIMBL50		agri_aa_oil
CIMBL51	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL51			AMP	CIMBL51		agri_aa_oil
CIMBL52	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL52			AMP	CIMBL52		agri_aa_oil
CIMBL53	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL53			AMP	CIMBL53		agri_aa_oil
CIMBL54	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL54			AMP	CIMBL54		agri_aa_oil
CIMBL55	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL55			AMP	CIMBL55		agri_aa_oil
