model	traits_evaluated	median_r2	mean_r2	median_pearson	mean_pearson	positive_r2_traits	pearson_gt_0_2_traits
genotype_pca_population_ridge	317	0.033692000166664626	-0.016161536748684757	0.33131392508373664	0.32152721416328583	204	226
genotype_pca_ridge	317	0.020536965399054252	-0.017032352036775514	0.29841516896978265	0.2935647564244349	180	206
population_ridge	317	0.00493113732780337	-0.09623794071246652	0.2372326299370003	0.22918207386634648	172	182
mean_baseline	317	-0.014445485060941232	-0.07918578502120899			0	0
