seed	trait	model	split	train_non_missing	test_non_missing	n_eval	r2	pearson	spearman	mae	rmse
20260605	agri_aa_oil__Kernernumberperrow	genotype_population_ridge	test	164	36	36	0.1064169720792767	0.4026965863512447	0.3974259974259975	1.861488378054712	2.334025935190211
20260605	agri_aa_oil__Kernernumberperrow	genotype_population_gene_methylation_pca_ridge	test	164	36	36	0.05770451273266841	0.3549390443911986	0.35778635778635787	1.8512940229013135	2.3967998972118942
20260605	agri_aa_oil__Kernernumberperrow	genotype_population_sparse_methylation_elasticnet	test	164	36	36	0.03699065867261586	0.313962945246851	0.32972972972972975	1.9310781450624812	2.4230003211554725
20260605	agri_aa_oil__Oil_C20_1P	genotype_population_ridge	test	158	34	34	0.2273306298277611	0.5249894339310668	0.5049656226126814	0.03578232115307741	0.04449703663518612
20260605	agri_aa_oil__Oil_C20_1P	genotype_population_gene_methylation_pca_ridge	test	158	34	34	0.25649764885817605	0.5121814763971048	0.5000763941940413	0.03364256619355782	0.04364911213324186
20260605	agri_aa_oil__Oil_C20_1P	genotype_population_sparse_methylation_elasticnet	test	158	34	34	0.19290141567339636	0.4612059587752041	0.4099312452253629	0.03525778265435827	0.045477599614378986
20260605	metabolite__Norcinnamolaurine_E1	genotype_population_ridge	test	123	24	24	-0.1952485048242849	0.2632837409162978	0.2756521739130435	4496699.628941744	5602900.470461475
20260605	metabolite__Norcinnamolaurine_E1	genotype_population_gene_methylation_pca_ridge	test	123	24	24	-0.29370155365058026	0.33212733261801214	0.3321739130434782	4662512.513065572	5829091.23848786
20260605	metabolite__Norcinnamolaurine_E1	genotype_population_sparse_methylation_elasticnet	test	123	24	24	-1.458919051128325	0.14076119114202237	0.11652173913043477	6245564.972614408	8036295.896540691
20260605	agri_aa_oil__Oil_C18_0	genotype_population_ridge	test	158	34	34	0.5330798953178537	0.7581880226104158	0.3677616501145912	0.03381435680535491	0.045778391962121995
20260605	agri_aa_oil__Oil_C18_0	genotype_population_gene_methylation_pca_ridge	test	158	34	34	0.5908642364140602	0.8172398828571488	0.48388082505729557	0.030716799098891395	0.042852184706052655
20260605	agri_aa_oil__Oil_C18_0	genotype_population_sparse_methylation_elasticnet	test	158	34	34	0.4597158728323296	0.7461737785222726	0.5966386554621849	0.030544677147395432	0.049243663004674754
20260605	agri_aa_oil__100grainweight	genotype_population_ridge	test	163	35	35	0.16616981845311862	0.44013401098815524	0.4326633528363567	1.924361709719783	2.4105316595382438
20260605	agri_aa_oil__100grainweight	genotype_population_gene_methylation_pca_ridge	test	163	35	35	0.20856564625525342	0.47498457285268697	0.477064221353393	1.8885269287241553	2.348450892284604
20260605	agri_aa_oil__100grainweight	genotype_population_sparse_methylation_elasticnet	test	163	35	35	0.027729242032348278	0.31350902755789667	0.43868618358156986	2.150546776498476	2.602960911600607
20260605	metabolite__Pro_Leu_E1	genotype_population_ridge	test	123	24	24	0.21591225541124814	0.4913815911101768	0.2637651180703324	297132.4761373618	372573.55721934483
20260605	metabolite__Pro_Leu_E1	genotype_population_gene_methylation_pca_ridge	test	123	24	24	0.2026917753425126	0.4851994877390752	0.27551702927148586	306175.2379547612	375701.40351771156
20260605	metabolite__Pro_Leu_E1	genotype_population_sparse_methylation_elasticnet	test	123	24	24	0.1713037298570762	0.49222562098151934	0.3220894181056865	305661.1098140082	383025.2348178651
20260605	agri_aa_oil__Plantheight	genotype_population_ridge	test	164	36	36	0.0978375016445785	0.5278727246414399	0.5467181467181468	14.200878835176528	18.935965682077143
20260605	agri_aa_oil__Plantheight	genotype_population_gene_methylation_pca_ridge	test	164	36	36	0.21161738455746604	0.5587041679056934	0.5904761904761905	12.832188344663706	17.701643592295312
20260605	agri_aa_oil__Plantheight	genotype_population_sparse_methylation_elasticnet	test	164	36	36	0.08034923324627086	0.4899759061505742	0.4924066924066925	14.937606880088278	19.11862000595241
20260605	agri_aa_oil__Oil_C200_C220	genotype_population_ridge	test	158	34	34	0.5679587675688156	0.8211840785004209	0.6705882352941176	0.3017769541355974	0.37018494358996196
20260605	agri_aa_oil__Oil_C200_C220	genotype_population_gene_methylation_pca_ridge	test	158	34	34	0.55837034306726	0.8671210230988026	0.6925897631779985	0.30345224878316296	0.3742702159364439
20260605	agri_aa_oil__Oil_C200_C220	genotype_population_sparse_methylation_elasticnet	test	158	34	34	0.5080865332544489	0.7451982188383139	0.682505729564553	0.3112890387314129	0.3950031043337535
20260605	agri_aa_oil__Oil_C16_1	genotype_population_ridge	test	158	34	34	0.4168062041123971	0.6572701137057765	0.5187165775401069	0.0013383973053269153	0.0017553274205323022
20260605	agri_aa_oil__Oil_C16_1	genotype_population_gene_methylation_pca_ridge	test	158	34	34	0.49123311964415206	0.7018260032806635	0.6440030557677616	0.0012258508995503388	0.001639498808839951
20260605	agri_aa_oil__Oil_C16_1	genotype_population_sparse_methylation_elasticnet	test	158	34	34	-0.07999145752978465	0.33959587076901165	0.26783804430863256	0.0018435122553754452	0.002388701320766554
20260605	agri_aa_oil__Oil_C180_C200	genotype_population_ridge	test	158	34	34	-0.18432405963235654	0.23940739996252897	0.23269671504965622	0.6706622713254924	0.8810137530916596
20260605	agri_aa_oil__Oil_C180_C200	genotype_population_gene_methylation_pca_ridge	test	158	34	34	0.1558001364596594	0.39808919135103626	0.3760122230710466	0.5818496300360965	0.7438237666082149
20260605	agri_aa_oil__Oil_C180_C200	genotype_population_sparse_methylation_elasticnet	test	158	34	34	0.09338046352031759	0.3815149285126199	0.41359816653934295	0.6191056194531996	0.7708323783396901
20260606	agri_aa_oil__Kernernumberperrow	genotype_population_ridge	test	164	36	36	-0.02433986504608643	0.08488612021856304	0.08725868725868725	2.3811989473647674	2.762882439697633
20260606	agri_aa_oil__Kernernumberperrow	genotype_population_gene_methylation_pca_ridge	test	164	36	36	0.03031847996669823	0.21773289922690317	0.20025740025740027	2.2984454217446393	2.6881588471503988
20260606	agri_aa_oil__Kernernumberperrow	genotype_population_sparse_methylation_elasticnet	test	164	36	36	0.012627225415502985	0.1916327402214322	0.23088803088803087	2.2700864046488047	2.7125699275635067
20260606	agri_aa_oil__Oil_C20_1P	genotype_population_ridge	test	156	35	35	0.09882983997151462	0.338583188025403	0.3159663865546219	0.03545754961527679	0.04216890237700623
20260606	agri_aa_oil__Oil_C20_1P	genotype_population_gene_methylation_pca_ridge	test	156	35	35	0.14894828909353264	0.4239404918541554	0.37310924369747905	0.033808439306799914	0.04097952027307478
20260606	agri_aa_oil__Oil_C20_1P	genotype_population_sparse_methylation_elasticnet	test	156	35	35	-0.16103468183329372	0.3128318775101081	0.31568627450980397	0.038645367238985345	0.047864275759820905
20260606	metabolite__Norcinnamolaurine_E1	genotype_population_ridge	test	113	26	26	-0.1825475944391841	-0.053226268708219976	0.046503676521687944	5375157.875872253	7360187.323402699
20260606	metabolite__Norcinnamolaurine_E1	genotype_population_gene_methylation_pca_ridge	test	113	26	26	-0.17681708567579535	0.03609972448857941	0.11249786452673038	5227278.055186005	7342332.296053443
20260606	metabolite__Norcinnamolaurine_E1	genotype_population_sparse_methylation_elasticnet	test	113	26	26	-0.9975850795016545	-0.1897637593576126	-0.06565224920708886	7056091.190039077	9566040.074871663
20260606	agri_aa_oil__Oil_C18_0	genotype_population_ridge	test	156	35	35	0.15036148463675425	0.4106983093348552	0.5876750700280112	0.02809355868888359	0.061119097160442164
20260606	agri_aa_oil__Oil_C18_0	genotype_population_gene_methylation_pca_ridge	test	156	35	35	0.15846315206027195	0.4208110585051698	0.5876750700280112	0.028341416677553837	0.06082700078210585
