trait_family	selected_traits	median_pearson	max_pearson	median_r2	max_r2	median_pearson_gain_vs_population
metabolite	76	0.4312710121174812	0.6913502480326984	0.1082268461184144	0.33815485094271	0.1302083379448264
oil	29	0.5970206817229022	0.924294437607209	0.3378748991344089	0.8271520389356026	0.29652143833821487
agronomic	16	0.4817824498652493	0.7498388718773434	0.21585521960874315	0.509565376145118	0.1222050961276164
amino_acid	9	0.370540740047284	0.5240259833953493	0.1216270474997233	0.2721532252322411	0.17616885307320201
