trait	nearest_gene_id	gene_relation	lead_snps	min_p_value	min_q_value_bh	max_minus_log10_p	mean_abs_partial_correlation	min_distance_to_gene_bp
agri_aa_oil__Oil_C16_0	Zm00001d013849	cis_window	1	4.09698816792703e-34	8.188076672892245e-29	33.387535290284454	0.5392819123318217	5032
agri_aa_oil__Oil_C16_0	Zm00001d009150	gene_body	1	1.1417420157688798e-32	6.689009623060391e-28	31.942432016742764	0.5290354733894715	0
agri_aa_oil__Oil_C16_0	Zm00001d049442	cis_window	1	1.1733168559298472e-32	6.689009623060391e-28	31.93058469018669	0.5289500066330488	6677
agri_aa_oil__Oil_C16_0	Zm00001d013983	gene_body	1	2.139854107017014e-31	5.3457835301499056e-27	30.669615835378536	0.5197116327152302	0
agri_aa_oil__Oil_C16_0	Zm00001d021162	gene_body	1	3.739886180232733e-30	5.749528403358408e-26	29.42714161492493	0.5103232108027842	0
agri_aa_oil__Oil_C16_0	Zm00001d049511	gene_body	1	1.1359524372718059e-29	1.5135127353559602e-25	28.944639852307077	0.5065972423504658	0
agri_aa_oil__Oil_C16_0	Zm00001d036981	cis_window	1	5.926067648331523e-29	7.402251099530907e-25	28.22723339518985	0.5009711353766868	247
agri_aa_oil__Oil_C16_0	Zm00001d013595	gene_body	1	9.75971587813284e-28	1.1473751626706568e-23	27.010562825197567	0.4911843604861953	0
agri_aa_oil__Oil_C16_0	Zm00001d052227	cis_window	1	1.3778524448746046e-25	1.1473836592619125e-21	24.86079728882021	0.4730812576994418	6066
agri_aa_oil__Oil_C16_0	Zm00001d025421	cis_window	1	3.753995133614192e-24	2.5870981083572343e-20	23.425506294699723	0.4603649598894617	1773
agri_aa_oil__Oil_C16_0	Zm00001d008883	gene_body	1	1.0709784979779705e-23	6.932458450809951e-20	22.970219248405545	0.4562173602925848	0
agri_aa_oil__Oil_C16_0	Zm00001d024995	promoter	1	1.0753052796769097e-23	6.932458450809951e-20	22.96846822183452	0.4562012987086268	0
agri_aa_oil__Oil_C16_0	Zm00001d013861	gene_body	1	3.2541391462686053e-23	2.0323726038020573e-19	22.48756388066633	0.4517575962325752	0
agri_aa_oil__Oil_C16_0	Zm00001d031002	gene_body	1	6.56497398446059e-23	3.74871268753816e-19	22.182766990584035	0.4489070582305987	0
agri_aa_oil__Oil_C16_0	Zm00001d032887	gene_body	1	1.8283941457502448e-22	9.616198431396341e-19	21.737930177927684	0.4446980520893044	0
