path	exists	bytes	git_tracked	release_class	sha256
docs/2026-06-06-zeamap-v0-1-stage5-17-report.md	True	1085	True	committed	e463792d8a10c9d41819f469b182db5311e2eb799afc6bd0457939defbfb29b3
results/v0_1_baseline/gemma_lmm_v0_1/candidate_loci/gemma_manuscript_candidate_genes.tsv	True	53284	True	committed	30d941fd76938ce1a4c12aea5afddc4d6930e68a318ebfc45edd97569c912a69
results/v0_1_baseline/gemma_lmm_v0_1/candidate_loci/gemma_manuscript_candidate_loci.tsv	True	63087	True	committed	3c7105b68c88bc3d73db383297b141b2f141a82f0125dd5746ffad0f26dd8c8c
results/v0_1_baseline/gemma_lmm_v0_1/gemma_lmm_lead_snps.tsv	True	224591	True	committed	2150c553f3a9a1ba77a02904183d58c619dd919eda73cbccfba3c987ceecee8f
results/v0_1_baseline/gemma_lmm_v0_1/gemma_lmm_summary.tsv	True	1149	True	committed	32d589f9209921b53b7cc5d3535fb7fc4d737c9890e553b383602e5226befc02
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_figures/figure_gemma_lmm_summary_nature.pdf	True	28047	True	committed	fa8b001c1be6d5e5820e325acbbe2bbc62bc4537854e6a978902ad5c9d6528d0
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_figures_stage5_7/figure1_dataset_prediction_nature.pdf	True	22892	True	committed	22dfed0eeef652540e439126ac726f6d8b4e1126879c35d8740bba18ba41ee28
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_figures_stage5_7/figure3_chr6_chr9_regional_loci_nature.pdf	True	507939	True	committed	392551807519a56a8a10863de1ac3d8b525dbcbce5912103b540e2c70926ce7e
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	True	10037	True	committed	ed4ca026ac0480e6358e0d7ae284feaf3ab2a533f5f3b6e6c5cd8bfd4b261b56
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	True	70412	True	committed	67edafb721aea6d8afcec62be2ad9b9e548302af45c6dd52e8e5c8ddcb666346
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	True	9915	True	committed	59fd536b80c294630fb0f0d43081fa4b71b3a7514792e9748a93992af8a569dd
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	True	15611	True	committed	c0e164179ba3c0783446032922907eaae76af374d4ba49aee2783d5892b4c215
results/v0_1_baseline/gemma_lmm_v0_1/regional_figures/R01_Zm00001d036982_regional_locus_nature.pdf	True	253307	True	committed	8b612f719443d81dd24f8a0b89818f4546ef19ec76b53dff4f1e56e2956be8bb
results/v0_1_baseline/gemma_lmm_v0_1/regional_figures/R08_Zm00001d045383_regional_locus_nature.pdf	True	164378	True	committed	3def6b097aa050ad44c5c1bb5b2edb4752f1656c03268650a23dcf745d70895b
results/v0_1_baseline/gemma_lmm_v0_1/top_loci/gemma_top_locus_priority.tsv	True	73035	True	committed	ab0c9ecfd5c638b94f16b1d797e6a333dfb36a6d4303b6786ebb4089bdea226a
results/v0_1_baseline/gemma_lmm_v0_1/top_loci/gemma_top_region_targets.tsv	True	4715	True	committed	eff57d100a6711b5467ece451b10f76ef6a6b9067d0617f9e89a6bfdfc9c098d
scripts/build_zeamap_sample_index.py	True	12463	True	committed	5006734e44cabed95840f7d10beaa59849382026bf6b239881fc7701d2cba5a7
scripts/build_zeamap_v0_1_dataset.py	True	13444	True	committed	d9652cc57649c87c2e01704996dd4db29706708c95997d646ee42d5a258749ea
scripts/build_zeamap_v0_1_final_benchmark.py	True	5264	True	committed	244e0e87aa3a4f45514c20cc0c860053553b15c2eeeaca8d6acd9d6159abe1c0
scripts/build_zeamap_v0_1_gemma_candidate_loci.py	True	22394	True	committed	a3c3c2d0d9379ba9a6f2bb8412ed71ff8536a764969687cc8beb66ec9f1f20d5
scripts/build_zeamap_v0_1_stage5_11_external_annotation.py	True	15449	True	committed	0dfc45944872e93cc14611cdfcefb1538a9962611098aab3e9d2a4a83fd11900
scripts/build_zeamap_v0_1_stage5_12_final_assembly.py	True	22649	True	committed	eb418da58c07d613fb7d500c21639721e0b82c15ddf846de23a9513394b02834
scripts/build_zeamap_v0_1_stage5_15_preflight_validator.py	True	13596	True	committed	204ea0b119cc2d594455eb28f69e4a836c27aff71aeb00b6ed685d60eccd7b9a
scripts/build_zeamap_v0_1_stage5_6_manuscript_tables.py	True	22458	True	committed	09c90cc82e7631adebd1cde9c43f0433b72cd54eb8e7292e7c15a5dff1337fa5
scripts/build_zeamap_v0_1_stage5_7_methods_and_figures.py	True	17870	True	committed	7cac2a66a70e3667479f14141132e02b2aa4609787f116284b62cc158f165214
scripts/build_zeamap_v0_1_top_locus_priority.py	True	18386	True	committed	e2ab1cf64afa03ae4e8c08569ab37fd4826516dbb68d574c6edfed79eac9d72d
scripts/prepare_zeamap_v0_1_gemma_inputs.py	True	3834	True	committed	875ef20c6421c00b355cfcc6dde29c39e4a96e224292ba3a3151e2283071bd85
scripts/run_zeamap_v0_1_baseline.py	True	15964	True	committed	8c4e091fd714bde6e168ab7f617479502bb77f86e86afc6783340b9e2e9a7a20
scripts/run_zeamap_v0_1_genotype_attribution.py	True	9672	True	committed	b23f30bf35bfaddee0d2b4524f72d62b0a7d4ab4317d1cb4edbcea886b322a6d
scripts/run_zeamap_v0_1_lightweight_models.py	True	9828	True	committed	3ceda0a20381911ca4499aae06c105ab436b174081be24a3815e08d7149bbef9
scripts/run_zeamap_v0_1_methylation_subset.py	True	11215	True	committed	6d325aba60430cd7aa167be1309bc8500b88238eb6d64bedb2937cd2c1d0b137
scripts/run_zeamap_v0_1_population_corrected_association.py	True	14436	True	committed	21ec699543ee15ea929b4b2869202f33dd84cfbe72e2c764d690fae0f7cac417
scripts/run_zeamap_v0_1_robustness.py	True	10156	True	committed	ff0c40e8168413519f76512e375181e8a7b5e5459fead53f79308b278e5f596c
scripts/select_zeamap_v0_1_traits.py	True	5397	True	committed	cf60d9f0bd8869c96e626b6e82e865028709400e988b3d97eb7d028e26899585
scripts/slurm/run_zeamap_v0_1_gemma_lmm.sh	True	1274	True	committed	7a6f27b2246f92846cb79457d491070311cecd9299a307de44968d076b37df19
scripts/summarize_zeamap_v0_1_gemma_lmm.py	True	14258	True	committed	7bed4b9461a48a26b714b6d88b90d83d68c10c9001bdc482c9a76a4a1bbf1dd4
